NDC,ATC
24 HR rivastigmine 0.396 MG/HR Transdermal System [Exelon],ANTI-DEMENTIA DRUGS
oxycodone hydrochloride 5 MG Oral Tablet,OPIOID ANALGESICS
0.4 ML enoxaparin sodium 100 MG/ML Prefilled Syringe,ANTITHROMBOTIC AGENTS
100 ML acetaminophen 10 MG/ML Injection [Ofirmev],OTHER ANALGESICS AND ANTIPYRETICS in ATC
TAB-A-VITE TABLET,ALL OTHER THERAPEUTIC PRODUCTS
cholecalciferol 0.01 MG Oral Tablet [Delta D3],"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO"
1 ML morphine sulfate 4 MG/ML Injection,OPIOID ANALGESICS
calcium chloride 0.0014 MEQ/ML / potassium chloride 0.004 MEQ/ML / sodium chloride 0.103 MEQ/ML / sodium lactate 0.028 MEQ/ML Injectable Solution,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS"
cefazolin 2000 MG Injection,OTHER BETA-LACTAM ANTIBACTERIALS in ATC
0.5 ML influenza A virus A/Singapore/GP1908/2015 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Singapore/INFIMH-16-0019/2016 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Maryland/15/2016 antigen 0.03 MG/ML / influenza B virus B/Phuket/3073/2013 antig,VIRAL VACCINES
2 ML ondansetron 2 MG/ML Injection,ANTIEMETICS AND ANTINAUSEANTS
acetaminophen 32 MG/ML Oral Solution,OTHER ANALGESICS AND ANTIPYRETICS in ATC
oxycodone hydrochloride 1 MG/ML Oral Solution,OPIOID ANALGESICS
docusate sodium 100 MG Oral Capsule [DOK],DRUGS FOR CONSTIPATION
1000 ML sodium chloride 9 MG/ML Injection,I.V. SOLUTION ADDITIVES
benzocaine 15 MG / menthol 3.6 MG Oral Lozenge [Cepacol Sore Throat Pain Relief],THROAT PREPARATIONS
Docusate Sodium 100 MG Oral Capsule [DOK],DRUGS FOR CONSTIPATION
Hydromorphone Hydrochloride 4 MG/ML Injectable Solution [Dilaudid],OPIOID ANALGESICS
calcium chloride 0.001 MEQ/ML / glucose 50 MG/ML / potassium chloride 0.004 MEQ/ML / sodium chloride 0.103 MEQ/ML / sodium lactate 0.028 MEQ/ML Injectable Solution,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS"
Acetaminophen 500 MG / Hydrocodone Bitartrate 5 MG Oral Tablet,OTHER ANALGESICS AND ANTIPYRETICS in ATC
diphenhydramine hydrochloride 25 MG Oral Capsule,ANTIHISTAMINES FOR SYSTEMIC USE
aluminum hydroxide 40 MG/ML / magnesium hydroxide 40 MG/ML / simethicone 4 MG/ML Oral Suspension,ANTACIDS
Acetaminophen 325 MG Oral Tablet,OTHER ANALGESICS AND ANTIPYRETICS in ATC
2 ML metoclopramide 5 MG/ML Injection,PROPULSIVES
1 ML ketorolac tromethamine 15 MG/ML Injection,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS"
Lorazepam 0.5 MG Oral Tablet,ANXIOLYTICS
72 HR scopolamine 0.0139 MG/HR Transdermal System [Transderm Scop],ANTIEMETICS AND ANTINAUSEANTS
1000 ML glucose 50 MG/ML / potassium chloride 0.02 MEQ/ML / sodium chloride 4.5 MG/ML Injection,"IV solutions used in parenteral administration of fluids, electrolytes and nutrients"
1 ML promethazine hydrochloride 25 MG/ML Injection,ANTIHISTAMINES FOR SYSTEMIC USE
Lorazepam 1 MG Oral Tablet,ANXIOLYTICS
glucagon (rDNA) 1 MG Injection [GlucaGen],GLYCOGENOLYTIC HORMONES
"0.5 ML Influenza A virus vaccine, A-California-7-2009 (H1N1)-like virus 0.03 MG/ML / Influenza A virus vaccine, A-Victoria-361-2011 (H3N2)-like virus 0.03 MG/ML / Influenza B virus vaccine, B-Massachusetts-2-2012-like virus 0.03 MG/ML Prefilled Syringe [F",VIRAL VACCINES
aspirin 325 MG Delayed Release Oral Tablet,OTHER ANALGESICS AND ANTIPYRETICS in ATC
pneumococcal capsular polysaccharide type 1 vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 10A vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 11A vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 12F vaccine 0.,ALL OTHER THERAPEUTIC PRODUCTS
hydrochlorothiazide 25 MG / triamterene 37.5 MG Oral Capsule,DIURETICS AND POTASSIUM-SPARING AGENTS IN COMBINATION
Simethicone 80 MG Chewable Tablet,ALL OTHER THERAPEUTIC PRODUCTS
Glucose 0.4 MG/MG Oral Gel,OTHER NUTRIENTS in ATC
omeprazole 20 MG Delayed Release Oral Capsule,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
Metformin hydrochloride 500 MG Oral Tablet,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS"
acetaminophen 325 MG / oxycodone hydrochloride 5 MG Oral Tablet,OPIOID ANALGESICS
Ibuprofen 600 MG Oral Tablet,THROAT PREPARATIONS
1 ML oxytocin 10 UNT/ML Injection,POSTERIOR PITUITARY LOBE HORMONES
acetaminophen 500 MG Oral Tablet,OTHER ANALGESICS AND ANTIPYRETICS in ATC
Codeine sulfate 30 MG Oral Tablet,"COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS"
dibucaine 0.01 MG/MG Topical Ointment,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE
ferrous sulfate 325 MG Oral Tablet,IRON ANTIANEMIC PREPARATIONS
metoprolol tartrate 50 MG Oral Tablet,BETA BLOCKING AGENTS
amoxicillin 500 MG / clavulanate 125 MG Oral Tablet,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS"
aspirin 325 MG Oral Tablet,OTHER ANALGESICS AND ANTIPYRETICS in ATC
PHOS-NAK PACKET,"DIGESTIVES, INCL. ENZYMES"
magnesium hydroxide 80 MG/ML Oral Suspension,ANTACIDS
metoprolol tartrate 25 MG Oral Tablet,BETA BLOCKING AGENTS
oxymetazoline hydrochloride 0.5 MG/ML Nasal Spray,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE
aspirin 81 MG Chewable Tablet,OTHER ANALGESICS AND ANTIPYRETICS in ATC
clopidogrel 75 MG Oral Tablet,ANTITHROMBOTIC AGENTS
atorvastatin 40 MG Oral Tablet,"LIPID MODIFYING AGENTS, PLAIN"
1000 ML sodium chloride 4.5 MG/ML Injection,I.V. SOLUTION ADDITIVES
1 ML morphine sulfate 2 MG/ML Prefilled Syringe,OPIOID ANALGESICS
1 ML lorazepam 2 MG/ML Cartridge,ANXIOLYTICS
lorazepam 1 MG Oral Tablet,ANXIOLYTICS
thiamine hydrochloride 100 MG/ML Injectable Solution,"VITAMIN B<n>1</n>, PLAIN AND IN COMBINATION WITH VITAMIN B<n>6</n> AND B<n>12</n>"
folic acid 5 MG/ML Injectable Solution,OTHER DIAGNOSTIC AGENTS in ATC
thiamine 100 MG Oral Tablet,"VITAMIN B<n>1</n>, PLAIN AND IN COMBINATION WITH VITAMIN B<n>6</n> AND B<n>12</n>"
Folic Acid 1 MG Oral Tablet,OTHER DIAGNOSTIC AGENTS in ATC
lidocaine 0.05 MG/MG Medicated Patch [Lidoderm],AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE
50 ML magnesium sulfate 40 MG/ML Injection,OTHER MINERAL SUPPLEMENTS in ATC
500 ML sodium chloride 9 MG/ML Injection,I.V. SOLUTION ADDITIVES
Vitamin K 1 5 MG Oral Tablet [Mephyton],VITAMIN K AND OTHER HEMOSTATICS
24 HR Potassium Chloride 20 MEQ Extended Release Tablet,POTASSIUM SUPPLEMENTS
Ciprofloxacin 500 MG Oral Tablet,QUINOLONE ANTIBACTERIALS
Ciprofloxacin 250 MG Oral Tablet,QUINOLONE ANTIBACTERIALS
ceftriaxone 2000 MG Injection,OTHER BETA-LACTAM ANTIBACTERIALS in ATC
"250 ML heparin sodium, porcine 100 UNT/ML Injection",ANTITHROMBOTIC AGENTS
sodium polystyrene sulfonate 250 MG/ML Oral Suspension [Kionex],OTHER DIAGNOSTIC AGENTS in ATC
1000 ML glucose 50 MG/ML / sodium chloride 4.5 MG/ML Injection,"IV solutions used in parenteral administration of fluids, electrolytes and nutrients"
acetylcysteine 200 MG/ML Inhalation Solution,"EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS"
camphor 5 MG/ML / menthol 5 MG/ML Topical Lotion [Men-phor],ALL OTHER THERAPEUTIC PRODUCTS
1 ML vitamin K1 10 MG/ML Injection,VITAMIN K AND OTHER HEMOSTATICS
amitriptyline hydrochloride 10 MG Oral Tablet,ANTIDEPRESSANTS
citalopram 20 MG Oral Tablet,ANTIDEPRESSANTS
clonazepam 0.5 MG Oral Tablet,ANTIEPILEPTICS
dexamethasone phosphate 10 MG/ML Injectable Solution,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN"
Oxycodone Hydrochloride 1 MG/ML Oral Solution [Roxicodone],OPIOID ANALGESICS
1 ML hydromorphone hydrochloride 1 MG/ML Cartridge,OPIOID ANALGESICS
50 ML glucose 50 MG/ML Injection,OTHER NUTRIENTS in ATC
Clindamycin 150 MG/ML Injectable Solution,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS"
Sertraline 50 MG Oral Tablet,ANTIDEPRESSANTS
12 HR Bupropion Hydrochloride 150 MG Extended Release Tablet,ANTIDEPRESSANTS
simvastatin 40 MG Oral Tablet,"LIPID MODIFYING AGENTS, PLAIN"
1000 ML glucose 50 MG/ML / sodium chloride 9 MG/ML Injection,"IV solutions used in parenteral administration of fluids, electrolytes and nutrients"
60 ACTUAT Albuterol 0.09 MG/ACTUAT Metered Dose Inhaler [Ventolin],"ADRENERGICS, INHALANTS"
gabapentin 300 MG Oral Capsule,ANTIEPILEPTICS
tizanidine 2 MG Oral Tablet,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS"
Trazodone Hydrochloride 100 MG Oral Tablet,ANTIDEPRESSANTS
"0.5 ML Influenza A virus vaccine, A-California-7-2009 (H1N1)-like virus 0.03 MG/ML / Influenza A virus vaccine, A-Victoria-361-2011 (H3N2)-like virus 0.03 MG/ML / Influenza B virus vaccine, B-Wisconsin-1-2010-like virus 0.03 MG/ML Prefilled Syringe [Aflur",VIRAL VACCINES
ondansetron 4 MG Oral Tablet,ANTIEMETICS AND ANTINAUSEANTS
Tramadol Hydrochloride 50 MG Oral Tablet,OPIOID ANALGESICS
12 HR Guaifenesin 600 MG Extended Release Tablet [Mucinex],"EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS"
Potassium Chloride 1.33 MEQ/ML Oral Solution [Kay Ciel],POTASSIUM SUPPLEMENTS
100 ML sodium chloride 9 MG/ML Injection,I.V. SOLUTION ADDITIVES
cefepime 2000 MG Injection,OTHER BETA-LACTAM ANTIBACTERIALS in ATC
200 ML vancomycin 5 MG/ML Injection,OTHER ANTIBACTERIALS in ATC
pantoprazole 40 MG Injection [Protonix],DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
READI-CAT 2 2% SUSPENSION,ALL OTHER THERAPEUTIC PRODUCTS
20 ML potassium chloride 2 MEQ/ML Injection,I.V. SOLUTION ADDITIVES
"15 ML sodium phosphate, dibasic 142 MG/ML / sodium phosphate, monobasic 276 MG/ML Injection","IV solutions used in parenteral administration of fluids, electrolytes and nutrients"
Hydromorphone Hydrochloride 2 MG Oral Tablet,OPIOID ANALGESICS
prochlorperazine 10 MG Oral Tablet,ANTIPSYCHOTICS
azithromycin 250 MG Oral Tablet,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS"
Sertraline 100 MG Oral Tablet,ANTIDEPRESSANTS
simvastatin 10 MG Oral Tablet,"LIPID MODIFYING AGENTS, PLAIN"
250 ML sodium chloride 9 MG/ML Injection,I.V. SOLUTION ADDITIVES
10 ML potassium chloride 2 MEQ/ML Injection,I.V. SOLUTION ADDITIVES
200 ACTUAT Albuterol 0.09 MG/ACTUAT Metered Dose Inhaler,"ADRENERGICS, INHALANTS"
2 ML Prochlorperazine 5 MG/ML Injection,ANTIPSYCHOTICS
Bupropion Hydrochloride 75 MG Oral Tablet [Wellbutrin],ANTIDEPRESSANTS
cefazolin 200 MG/ML Injectable Solution,OTHER BETA-LACTAM ANTIBACTERIALS in ATC
100 ML metronidazole 5 MG/ML Injection,OTHER ANTIBACTERIALS in ATC
Morphine Sulfate 1 MG/ML Injectable Solution,OPIOID ANALGESICS
50 ML famotidine 0.4 MG/ML Injection,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
Menthol 5.4 MG Lozenge [Cepacol Sore Throat from Post Nasal Drip],ALL OTHER THERAPEUTIC PRODUCTS
phenol 14 MG/ML Mucosal Spray [Chloraseptic Spray],ANTISEPTICS AND DISINFECTANTS
famotidine 20 MG Oral Tablet,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
Acetaminophen 325 MG / Oxycodone Hydrochloride 5 MG Oral Tablet [Percocet],OPIOID ANALGESICS
insulin lispro 100 UNT/ML Injectable Solution [Humalog],INSULINS AND ANALOGUES
"insulin isophane, human 70 UNT/ML / insulin, regular, human 30 UNT/ML Injectable Suspension [Humulin]",INSULINS AND ANALOGUES
acetaminophen 325 MG Oral Tablet [Mapap],OTHER ANALGESICS AND ANTIPYRETICS in ATC
albuterol 0.833 MG/ML / ipratropium bromide 0.167 MG/ML Inhalation Solution,"ADRENERGICS, INHALANTS"
docusate sodium 100 MG Oral Capsule,DRUGS FOR CONSTIPATION
Calcitriol 0.0005 MG Oral Capsule,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO"
carvedilol 12.5 MG Oral Tablet,BETA BLOCKING AGENTS
gabapentin 100 MG Oral Capsule,ANTIEPILEPTICS
24 HR nifedipine 60 MG Extended Release Oral Tablet,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS
allopurinol 100 MG Oral Tablet,ANTIGOUT PREPARATIONS
4 ML furosemide 10 MG/ML Injection,HIGH-CEILING DIURETICS
atorvastatin 80 MG Oral Tablet,"LIPID MODIFYING AGENTS, PLAIN"
insulin glargine 100 UNT/ML Injectable Solution [Lantus],INSULINS AND ANALOGUES
torsemide 20 MG Oral Tablet,HIGH-CEILING DIURETICS
ramelteon 8 MG Oral Tablet [Rozerem],HYPNOTICS AND SEDATIVES
Lisinopril 20 MG Oral Tablet,"ACE INHIBITORS, PLAIN"
Prednisone 10 MG Oral Tablet,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN"
atorvastatin 80 MG Oral Tablet [Lipitor],"LIPID MODIFYING AGENTS, PLAIN"
cholecalciferol 0.025 MG Oral Tablet,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO"
24 HR Nifedipine 60 MG Extended Release Tablet,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS
Ranitidine 150 MG Oral Tablet,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
ferrous sulfate 300 MG Oral Tablet [Ferratab],IRON ANTIANEMIC PREPARATIONS
"insulin isophane, human 100 UNT/ML Injectable Suspension [Humulin N]",INSULINS AND ANALOGUES
pantoprazole 40 MG Delayed Release Oral Tablet,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
warfarin sodium 5 MG Oral Tablet [Coumadin],ANTITHROMBOTIC AGENTS
warfarin sodium 1 MG Oral Tablet [Coumadin],ANTITHROMBOTIC AGENTS
warfarin sodium 2 MG Oral Tablet [Coumadin],ANTITHROMBOTIC AGENTS
magnesium oxide 400 MG Oral Tablet,ANTACIDS
potassium chloride 10 MEQ Extended Release Oral Tablet [Klor-Con],POTASSIUM SUPPLEMENTS
24 HR Nifedipine 30 MG Extended Release Tablet [Nifediac CC],SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS
0.5 ML influenza A virus A/California/7/2009 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Switzerland/9715293/2013 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Brisbane/60/2008 antigen 0.03 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.03 M,VIRAL VACCINES
nitroglycerin 0.3 MG Sublingual Tablet [Nitrostat],VASODILATORS USED IN CARDIAC DISEASES
Ceftriaxone 1000 MG Injection [Rocephin],OTHER BETA-LACTAM ANTIBACTERIALS in ATC
Furosemide 40 MG Oral Tablet,HIGH-CEILING DIURETICS
clopidogrel 75 MG Oral Tablet [Plavix],ANTITHROMBOTIC AGENTS
150 ML Levofloxacin 5 MG/ML Injection [Levaquin],QUINOLONE ANTIBACTERIALS
pravastatin sodium 20 MG Oral Tablet,"LIPID MODIFYING AGENTS, PLAIN"
THERA-PLUS LIQUID,ALL OTHER THERAPEUTIC PRODUCTS
sevelamer carbonate 800 MG Oral Tablet [Renvela],ALL OTHER THERAPEUTIC PRODUCTS
4 ML Furosemide 10 MG/ML Injection,HIGH-CEILING DIURETICS
1000 ML glucose 50 MG/ML Injection,OTHER NUTRIENTS in ATC
50 ML sodium bicarbonate 84 MG/ML Injection,I.V. SOLUTION ADDITIVES
lactulose 667 MG/ML Oral Solution [Constulose],DRUGS FOR CONSTIPATION
168 HR clonidine 0.00417 MG/HR Transdermal System,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING"
trandolapril 2 MG Oral Tablet [Mavik],"ACE INHIBITORS, PLAIN"
atenolol 50 MG Oral Tablet,BETA BLOCKING AGENTS
Hydrochlorothiazide 12.5 MG Oral Capsule,"LOW-CEILING DIURETICS, THIAZIDES"
Aspirin 325 MG Oral Tablet,OTHER ANALGESICS AND ANTIPYRETICS in ATC
Metoprolol Tartrate 50 MG Oral Tablet,BETA BLOCKING AGENTS
clonidine hydrochloride 0.1 MG Oral Tablet,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING"
1 ML hydralazine hydrochloride 20 MG/ML Injection,ALL OTHER THERAPEUTIC PRODUCTS
Nitroglycerin 0.4 MG Sublingual Tablet,VASODILATORS USED IN CARDIAC DISEASES
2 ML Furosemide 10 MG/ML Injection,HIGH-CEILING DIURETICS
Lisinopril 10 MG Oral Tablet,"ACE INHIBITORS, PLAIN"
lisinopril 20 MG Oral Tablet,"ACE INHIBITORS, PLAIN"
potassium chloride 20 MEQ Powder for Oral Solution,POTASSIUM SUPPLEMENTS
Dicyclomine Hydrochloride 10 MG Oral Capsule,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
Omeprazole 20 MG Enteric Coated Capsule,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
1 ML meperidine hydrochloride 50 MG/ML Cartridge [Demerol],OPIOID ANALGESICS
1 ML meperidine hydrochloride 25 MG/ML Cartridge [Demerol],OPIOID ANALGESICS
Levothyroxine Sodium 0.025 MG Oral Tablet [Synthroid],THYROID PREPARATIONS
Escitalopram 10 MG Oral Tablet [Lexapro],ANTIDEPRESSANTS
Levofloxacin 750 MG Oral Tablet [Levaquin],QUINOLONE ANTIBACTERIALS
levothyroxine sodium 0.075 MG Oral Tablet [Synthroid],THYROID PREPARATIONS
fluconazole 100 MG Oral Tablet,ANTIMYCOTICS FOR SYSTEMIC USE
alprazolam 0.25 MG Oral Tablet,ANXIOLYTICS
diphenhydramine hydrochloride 2.5 MG/ML Oral Solution,ANTIHISTAMINES FOR SYSTEMIC USE
nystatin 100000 UNT/ML / triamcinolone acetonide 1 MG/ML Topical Cream,"CORTICOSTEROIDS, COMBINATIONS WITH ANTIBIOTICS"
50 ML gentamicin 1.6 MG/ML Injection,AMINOGLYCOSIDE ANTIBACTERIALS
azathioprine 50 MG Oral Tablet,IMMUNOSUPPRESSANTS
topiramate 100 MG Oral Tablet [Topamax],ANTIEPILEPTICS
Menthol 3 MG Lozenge [Cepacol Sore Throat from Post Nasal Drip],ALL OTHER THERAPEUTIC PRODUCTS
mesalamine 250 MG Extended Release Oral Capsule [Pentasa],INTESTINAL ANTIINFLAMMATORY AGENTS
dicyclomine hydrochloride 10 MG Oral Capsule,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
24 HR venlafaxine 75 MG Extended Release Oral Capsule [Effexor],ANTIDEPRESSANTS
Triamcinolone Acetonide 0.001 MG/MG Topical Ointment,"CORTICOSTEROID DERMATOLOGICAL PREPARATIONS, PLAIN"
Fluconazole 200 MG Oral Tablet,ANTIMYCOTICS FOR SYSTEMIC USE
azathioprine 75 MG Oral Tablet [Azasan],IMMUNOSUPPRESSANTS
60 ACTUAT fluticasone propionate 0.5 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler [Advair],"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS in ATC"
1 ML haloperidol 5 MG/ML Injection,ANTIPSYCHOTICS
Morphine Sulfate 5 MG/ML Injectable Solution,OPIOID ANALGESICS
propylthiouracil 50 MG Oral Tablet,ANTITHYROID PREPARATIONS
AFLURIA INFLUENZA A VIRUS A/CALIFORNIA/7/2009 X-181 (H1N1) HEMAGGLUTININ ANTIGEN (PROPIOLACTONE INACTIVATED) intramuscular,VIRAL VACCINES
bacitracin zinc 0.5 UNT/MG Topical Ointment,ANTIBIOTICS FOR TOPICAL USE
alprazolam 1 MG Oral Tablet,ANXIOLYTICS
Promethazine Hydrochloride 25 MG Oral Tablet,ANTIHISTAMINES FOR SYSTEMIC USE
guaifenesin 20 MG/ML Oral Solution,"EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS"
14 ACTUAT fluticasone propionate 0.25 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler [Advair],"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS in ATC"
1000 ML glucose 50 MG/ML / potassium chloride 0.02 MEQ/ML / sodium chloride 9 MG/ML Injection,"IV solutions used in parenteral administration of fluids, electrolytes and nutrients"
cephalexin 500 MG Oral Capsule,OTHER BETA-LACTAM ANTIBACTERIALS in ATC
levetiracetam 500 MG Oral Tablet,ANTIEPILEPTICS
2 ML lidocaine hydrochloride 10 MG/ML Injection,"ANTIARRHYTHMICS, CLASS I AND III"
5 ML levetiracetam 100 MG/ML Injection,ANTIEPILEPTICS
meropenem 1000 MG Injection,OTHER BETA-LACTAM ANTIBACTERIALS in ATC
"5 ML heparin sodium, porcine 10 UNT/ML Prefilled Syringe",ANTITHROMBOTIC AGENTS
lidocaine hydrochloride 10 MG/ML Injectable Solution,"ANTIARRHYTHMICS, CLASS I AND III"
250 ML glucose 50 MG/ML Injection,OTHER NUTRIENTS in ATC
vancomycin 500 MG Injection,OTHER ANTIBACTERIALS in ATC
Metronidazole 500 MG Oral Tablet,AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES
levetiracetam 500 MG Oral Tablet [Keppra],ANTIEPILEPTICS
levetiracetam 100 MG/ML Oral Solution,ANTIEPILEPTICS
meropenem 500 MG Injection [Merrem],OTHER BETA-LACTAM ANTIBACTERIALS in ATC
alteplase 50 MG Injection [Activase],ANTITHROMBOTIC AGENTS
ertapenem 1000 MG Injection [Invanz],OTHER BETA-LACTAM ANTIBACTERIALS in ATC
