code,code_name
225,CONVERSION OF CARDIAC RHYTHM
48,INSERTION; REVISION; REPLACEMENT; REMOVAL OF CARDIAC PACEMAKER OR CARDIOVERTER/DEFIBRILLATOR
108,INDWELLING CATHETER
175,OTHER OR THERAPEUTIC PROCEDURES ON SKIN AND BREAST
44,CORONARY ARTERY BYPASS GRAFT (CABG)
157,AMPUTATION OF LOWER EXTREMITY
142,PARTIAL EXCISION BONE
160,OTHER THERAPEUTIC PROCEDURES ON MUSCLES AND TENDONS
6,DECOMPRESSION PERIPHERAL NERVE
39,INCISION OF PLEURA; THORACENTESIS; CHEST DRAINAGE
224,CANCER CHEMOTHERAPY
199,ELECTROENCEPHALOGRAM (EEG)
94,OTHER OR UPPER GI THERAPEUTIC PROCEDURES
86,OTHER HERNIA REPAIR
152,ARTHROPLASTY KNEE
156,INJECTIONS AND ASPIRATIONS OF MUSCLES; TENDONS; BURSA; JOINTS AND SOFT TISSUE
174,OTHER NON-OR THERAPEUTIC PROCEDURES ON SKIN AND BREAST
158,SPINAL FUSION
134,CESAREAN SECTION
92,OTHER BOWEL DIAGNOSTIC PROCEDURES
37,DIAGNOSTIC BRONCHOSCOPY AND BIOPSY OF BRONCHUS
85,INGUINAL AND FEMORAL HERNIA REPAIR
111,OTHER NON-OR THERAPEUTIC PROCEDURES OF URINARY TRACT
131,OTHER NON-OR THERAPEUTIC PROCEDURES; FEMALE ORGANS
84,CHOLECYSTECTOMY AND COMMON DUCT EXPLORATION
184,INTRAOPERATIVE CHOLANGIOGRAM
43,HEART VALVE PROCEDURES
169,DEBRIDEMENT OF WOUND; INFECTION OR BURN
96,OTHER OR LOWER GI THERAPEUTIC PROCEDURES
145,TREATMENT; FRACTURE OR DISLOCATION OF RADIUS AND ULNA
123,OTHER OPERATIONS ON FALLOPIAN TUBES
162,OTHER OR THERAPEUTIC PROCEDURES ON JOINTS
155,ARTHROCENTESIS
159,OTHER DIAGNOSTIC PROCEDURES ON MUSCULOSKELETAL SYSTEM
171,SUTURE OF SKIN AND SUBCUTANEOUS TISSUE
36,LOBECTOMY OR PNEUMONECTOMY
40,OTHER DIAGNOSTIC PROCEDURES OF RESPIRATORY TRACT AND MEDIASTINUM
87,LAPAROSCOPY (GI ONLY)
193,DIAGNOSTIC ULTRASOUND OF HEART (ECHOCARDIOGRAM)
73,ILEOSTOMY AND OTHER ENTEROSTOMY
147,TREATMENT; FRACTURE OR DISLOCATION OF LOWER EXTREMITY (OTHER THAN HIP OR FEMUR)
148,OTHER FRACTURE AND DISLOCATION PROCEDURE
8,OTHER NON-OR OR CLOSED THERAPEUTIC NERVOUS SYSTEM PROCEDURES
198,MAGNETIC RESONANCE IMAGING
12,OTHER THERAPEUTIC ENDOCRINE PROCEDURES
211,RADIATION THERAPY
197,OTHER DIAGNOSTIC ULTRASOUND
77,PROCTOSCOPY AND ANORECTAL BIOPSY
3,LAMINECTOMY; EXCISION INTERVERTEBRAL DISC
74,GASTRECTOMY; PARTIAL AND TOTAL
42,OTHER OR RX PROCEDURES ON RESPIRATORY SYSTEM AND MEDIASTINUM
58,HEMODIALYSIS
99,OTHER OR GASTROINTESTINAL THERAPEUTIC PROCEDURES
122,REMOVAL OF ECTOPIC PREGNANCY
93,OTHER NON-OR UPPER GI THERAPEUTIC PROCEDURES
34,TRACHEOSTOMY; TEMPORARY AND PERMANENT
71,GASTROSTOMY; TEMPORARY AND PERMANENT
5,INSERTION OF CATHETER OR SPINAL STIMULATOR AND INJECTION INTO SPINAL CANAL
51,ENDARTERECTOMY; VESSEL OF HEAD AND NECK
59,OTHER OR PROCEDURES ON VESSELS OF HEAD AND NECK
82,FLUOROSCOPY OF THE BILIARY AND PANCREATIC DUCTS (ERCP
106,GENITOURINARY INCONTINENCE PROCEDURES
60,EMBOLECTOMY AND ENDARTERECTOMY OF LOWER LIMBS
190,CONTRAST ARTERIOGRAM OF FEMORAL AND LOWER EXTREMITY ARTERIES
120,OTHER OPERATIONS ON OVARY
95,OTHER NON-OR LOWER GI THERAPEUTIC PROCEDURES
56,OTHER VASCULAR BYPASS AND SHUNT; NOT HEART
202,ELECTROCARDIOGRAM
183,ROUTINE CHEST X-RAY
127,DILATATION AND CURETTAGE (D&C); ASPIRATION AFTER DELIVERY OR ABORTION
89,EXPLORATORY LAPAROTOMY
222,BLOOD TRANSFUSION
113,TRANSURETHRAL RESECTION OF PROSTATE (TURP)
191,ARTERIO- OR VENOGRAM (NOT HEART AND HEAD)
194,DIAGNOSTIC ULTRASOUND OF GASTROINTESTINAL TRACT
229,NONOPERATIVE REMOVAL OF FOREIGN BODY
170,EXCISION OF SKIN LESION
151,EXCISION OF SEMILUNAR CARTILAGE OF KNEE
149,ARTHROSCOPY
219,ALCOHOL AND DRUG REHABILITATION/DETOXIFICATION
10,THYROIDECTOMY; PARTIAL OR COMPLETE
168,INCISION AND DRAINAGE; SKIN AND SUBCUTANEOUS TISSUE
41,OTHER NON-OR THERAPEUTIC PROCEDURES ON RESPIRATORY SYSTEM
173,OTHER DIAGNOSTIC PROCEDURES ON SKIN AND SUBCUTANEOUS TISSUE
204,SWAN-GANZ CATHETERIZATION FOR MONITORING
65,BONE MARROW BIOPSY
139,FETAL MONITORING
163,OTHER NON-OR THERAPEUTIC PROCEDURES ON MUSCULOSKELETAL SYSTEM
181,MYELOGRAM
29,DENTAL PROCEDURES
69,ESOPHAGEAL DILATATION
153,HIP REPLACEMENT; TOTAL AND PARTIAL
64,BONE MARROW TRANSPLANT
32,OTHER NON-OR THERAPEUTIC PROCEDURES ON NOSE; MOUTH AND PHARYNX
55,PERIPHERAL VASCULAR BYPASS
213,PHYSICAL THERAPY EXERCISES; MANIPULATION; AND OTHER PROCEDURES
52,AORTIC RESECTION; REPLACEMENT OR ANASTOMOSIS
121,LIGATION OR OCCLUSION OF FALLOPIAN TUBES
136,ARTIFICIAL RUPTURE OF MEMBRANES TO ASSIST DELIVERY
212,DIAGNOSTIC PHYSICAL THERAPY
217,OTHER RESPIRATORY THERAPY
209,NON-IMAGING NUCLEAR MEDICINE PROBE OR ASSAY
214,TRACTION; SPLINTS; AND OTHER WOUND CARE
161,OTHER OR THERAPEUTIC PROCEDURES ON BONE
226,OTHER DIAGNOSTIC RADIOLOGY AND RELATED TECHNIQUES
218,PSYCHOLOGICAL AND PSYCHIATRIC EVALUATION AND THERAPY
80,APPENDECTOMY
128,DIAGNOSTIC DILATATION AND CURETTAGE (D&C)
221,NASOGASTRIC TUBE
101,TRANSURETHRAL EXCISION; DRAINAGE; OR REMOVAL URINARY OBSTRUCTION
27,CONTROL OF EPISTAXIS
31,DIAGNOSTIC PROCEDURES ON NOSE; MOUTH AND PHARYNX
141,OTHER THERAPEUTIC OBSTETRICAL PROCEDURES
177,COMPUTERIZED AXIAL TOMOGRAPHY (CT) SCAN HEAD
228,PROPHYLACTIC VACCINATIONS AND INOCULATIONS
107,EXTRACORPOREAL LITHOTRIPSY; URINARY
167,MASTECTOMY
180,OTHER CT SCAN
189,CONTRAST AORTOGRAM
196,DIAGNOSTIC ULTRASOUND OF ABDOMEN OR RETROPERITONEUM
178,CT SCAN CHEST
179,CT SCAN ABDOMEN
203,ELECTROGRAPHIC CARDIAC MONITORING
208,NUCLEAR MEDICINE IMAGING OF PULMONARY
188,CEREBRAL ARTERIOGRAM
33,OTHER OR THERAPEUTIC PROCEDURES ON NOSE; MOUTH AND PHARYNX
38,OTHER DIAGNOSTIC PROCEDURES ON LUNG AND BRONCHUS
144,TREATMENT; FACIAL FRACTURE OR DISLOCATION
25,DIAGNOSTIC PROCEDURES ON EAR
150,DIVISION OF JOINT CAPSULE; LIGAMENT OR CARTILAGE
109,PROCEDURES ON THE URETHRA
135,FORCEPS; VACUUM; AND BREECH DELIVERY
66,PROCEDURES ON SPLEEN
72,COLOSTOMY; TEMPORARY AND PERMANENT
117,OTHER NON-OR THERAPEUTIC PROCEDURES; MALE GENITAL
164,OTHER OR THERAPEUTIC PROCEDURES ON MUSCULOSKELETAL SYSTEM
81,HEMORRHOID PROCEDURES
166,LUMPECTOMY; QUADRANTECTOMY OF BREAST
26,OTHER THERAPEUTIC EAR PROCEDURES
35,TRACHEOSCOPY AND LARYNGOSCOPY WITH BIOPSY
118,OTHER OR THERAPEUTIC PROCEDURES; MALE GENITAL
192,DIAGNOSTIC ULTRASOUND OF HEAD AND NECK
195,DIAGNOSTIC ULTRASOUND OF URINARY TRACT
7,OTHER DIAGNOSTIC NERVOUS SYSTEM PROCEDURES
79,LOCAL EXCISION OF LARGE INTESTINE LESION (NOT ENDOSCOPIC)
176,ORGAN TRANSPLANTATION (OTHER THAN BONE MARROW
154,ARTHROPLASTY OTHER THAN HIP OR KNEE
57,CREATION; REVISION AND REMOVAL OF ARTERIOVENOUS FISTULA OR VESSEL-TO-VESSEL CANNULA FOR DIALYSIS
105,KIDNEY TRANSPLANT
103,NEPHROTOMY AND NEPHROSTOMY
19,OTHER THERAPEUTIC PROCEDURES ON EYELIDS; CONJUNCTIVA; CORNEA
126,ABORTION (TERMINATION OF PREGNANCY)
11,DIAGNOSTIC ENDOCRINE PROCEDURES
28,PLASTIC PROCEDURES ON NOSE
2,INSERTION; REPLACEMENT; OR REMOVAL OF EXTRACRANIAL VENTRICULAR SHUNT
114,OPEN PROSTATECTOMY
133,EPISIOTOMY
143,BUNIONECTOMY OR REPAIR OF TOE DEFORMITIES
220,OPHTHALMOLOGIC AND OTOLOGIC DIAGNOSIS AND TREATMENT
130,OTHER DIAGNOSTIC PROCEDURES; FEMALE ORGANS
21,OTHER EXTRAOCULAR MUSCLE AND ORBIT THERAPEUTIC PROCEDURES
185,UPPER GASTROINTESTINAL X-RAY
201,CARDIAC STRESS TESTS
91,PERITONEAL DIALYSIS
20,OTHER INTRAOCULAR THERAPEUTIC PROCEDURES
23,MYRINGOTOMY
53,VARICOSE VEIN STRIPPING; LOWER LIMB
15,LENS AND CATARACT PROCEDURES
22,TYMPANOPLASTY
138,DIAGNOSTIC AMNIOCENTESIS
165,BREAST BIOPSY AND OTHER DIAGNOSTIC PROCEDURES ON BREAST
30,TONSILLECTOMY AND/OR ADENOIDECTOMY
116,DIAGNOSTIC PROCEDURES; MALE GENITAL
205,ARTERIAL BLOOD GASES
16,REPAIR OF RETINAL TEAR; DETACHMENT
46,CORONARY THROMBOLYSIS
115,CIRCUMCISION
207,NUCLEAR MEDICINE IMAGING OF BONE
17,DESTRUCTION OF LESION OF RETINA AND CHOROID
14,GLAUCOMA PROCEDURES
210,OTHER NUCLEAR MEDICINE IMAGING
18,DIAGNOSTIC PROCEDURES ON EYE
230,EXTRACORPOREAL SHOCK WAVE OTHER THAN URINARY
68,INJECTION OR LIGATION OF ESOPHAGEAL VARICES
24,MASTOIDECTOMY
206,MICROSCOPIC EXAMINATION (BACTERIAL SMEAR; CULTURE; TOXICOLOGY)
186,LOWER GASTROINTESTINAL X-RAY
182,MAMMOGRAPHY
13,CORNEAL TRANSPLANT
215,OTHER PHYSICAL THERAPY AND REHABILITATION
200,NONOPERATIVE URINARY SYSTEM MEASUREMENTS
